point_id,name,point_type,lon,lat,nearest_station,connector_distance_m,connector_time_min
District:TURCZAŃSKI,TURCZAŃSKI,District,22.98116536459777,49.14147434874563,Turka,4041.9321050801113,60.62898157620167
District:TURECKI,TURECKI,District,18.65567724357085,51.92231799663011,Turek,14400.773718302602,216.01160577453902
District:TŁUMACKI,TŁUMACKI,District,24.967818157893443,48.84309165161105,Tłumacz,3719.3624846419902,55.79043726962985
District:WADOWICKI,WADOWICKI,District,19.5456288616413,49.84092064988051,Skawce,4788.129261566231,71.82193892349346
District:WARSZAWSKI,WARSZAWSKI,District,21.00066823984591,52.264649254491246,Warszawa Gdańska,838.9116662643627,12.58367499396544
District:WIELUŃSKI,WIELUŃSKI,District,18.551944506424135,51.24072884288862,Wieluń,2587.5168334012137,38.8127525010182
District:WILEJSKI,WILEJSKI,District,27.034669653508534,54.580844833567575,Mołodeczno,32988.14811067016,494.8222216600524
District:WILEŃSKO-TROCKI,WILEŃSKO-TROCKI,District,25.30001020492474,54.60590765291512,Wilno,9099.257863157996,136.48886794736993
District:WILNO (MIASTO),WILNO (MIASTO),District,25.29136239525154,54.6883909574359,Wilno,565.2211630297282,8.478317445445922
District:WOLSZTYŃSKI,WOLSZTYŃSKI,District,16.127907028918838,52.111951752113725,Wolsztyn,1199.2209856331142,17.988314784496712
