line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_03cc637290;Opoczno;Tomaszów Mazowiecki;1885-01-01;;false;;Lijewski;
L_11030e5352;Końskie;Opoczno;1885-01-01;;false;;Lijewski;
L_49f86431be;Końskie;Skarżysko Kamienna;1885-01-01;;false;;Lijewski;
L_72b32c01e1;Skarżysko Kamienna;Starachowice;1885-01-01;;false;;Lijewski;
L_17531eb0e3;Ostrowiec Świętokrzyski;Starachowice;1885-01-01;;false;;Lijewski;
L_12e62fb8b7;Kostopol;Równe;1885-01-01;;false;;Semaforek;
L_3f29cf199a;Kostopol;Sarny;1885-01-01;;false;;Semaforek;
L_408962a5bd;Horyń;Łuniniec;1885-01-01;;false;;Semaforek;
L_ec90e9dbc0;Dąbrowica;Horyń;1885-01-01;;false;;Semaforek;
L_836d48e09f;Dąbrowica;Sarny;1885-01-01;;false;;Semaforek;
L_02f39aa0fb;Wolsztyn;Zbąszyń;1886-01-01;;false;;Lijewski;
L_3487c9d788;Pruszcz Gdański;Stara Piła;1886-01-01;;false;;Lijewski;
L_3a003dd377;Stara Piła;Żukowo Zachodnie;1886-01-01;;false;;Lijewski;
L_931713654b;Wąsosz;Żmigród;1886-01-01;;false;;Lijewski;
L_399cd9a3ca;Nowy Staw;Szymankowo;1886-01-01;;false;;Lijewski;
L_3bb666913c;Nowy Dwór Gdański;Nowy Staw;1886-01-01;;false;;Lijewski;
L_82d8705234;Opalenica;Rudniki;1886-01-01;;false;750.0;Lijewski;
L_098001fd3b;Rudniki;Trzcianka Zachodnia;1886-01-01;;false;750.0;Lijewski;
L_a68cdd79f6;Kartuzy;Żukowo Zachodnie;1886-01-01;;false;;Lijewski;
L_69a46ec5e9;Brodnica;Jabłonowo Pomorskie;1886-01-01;;false;;Lijewski;
